subj,tr_acc,val_acc,ts_acc,ts_pred,ts_label,sparsity
14,43.750,66.667,100.000,0,0,0.0767275
15,50.000,55.556,0.000,1,0,0.08230208333333333
16,50.000,33.333,100.000,0,0,0.11104041666666667
17,48.438,66.667,100.000,0,0,0.12482458333333334
18,59.375,66.667,0.000,0,1,0.0812225
19,50.000,66.667,0.000,0,1,0.07107416666666666
20,46.875,66.667,100.000,0,0,0.14606166666666667
21,56.250,66.667,100.000,0,0,0.08004833333333333
22,51.562,66.667,100.000,0,0,0.07093708333333333
23,48.438,66.667,0.000,0,1,0.07700083333333334
24,53.125,66.667,100.000,0,0,0.08481833333333333
25,40.625,66.667,0.000,0,1,0.11416833333333333
26,48.438,66.667,0.000,0,1,0.11184458333333333
27,48.438,55.556,100.000,0,0,0.06901875
28,48.438,33.333,0.000,1,0,0.029542916666666665
29,56.250,55.556,100.000,0,0,0.06503666666666667
30,53.125,55.556,0.000,0,1,0.07423083333333333
31,56.250,33.333,0.000,0,1,0.12792708333333333
32,40.625,55.556,100.000,0,0,0.11360416666666667
33,51.562,55.556,100.000,0,0,0.05047041666666666
34,45.312,55.556,100.000,0,0,0.049585833333333336
35,53.125,55.556,0.000,0,1,0.12659708333333333
36,64.062,66.667,100.000,1,1,0.12266166666666667
37,45.312,55.556,100.000,0,0,0.11223291666666667
38,46.875,33.333,0.000,1,0,0.04463625
39,60.938,55.556,0.000,0,1,0.055012083333333336
40,57.812,33.333,100.000,0,0,0.11728958333333334
41,65.625,66.667,0.000,1,0,0.129275
42,46.875,55.556,0.000,0,1,0.17286
43,59.375,55.556,100.000,0,0,0.12634041666666668
44,67.188,66.667,100.000,0,0,0.08006625
45,65.625,55.556,0.000,0,1,0.09280666666666666
2,57.812,66.667,100.000,0,0,0.06370458333333333
3,50.000,33.333,0.000,1,0,0.05769291666666667
4,65.625,77.778,100.000,0,0,0.061600833333333334
5,53.125,66.667,100.000,0,0,0.0827625
6,35.938,66.667,100.000,0,0,0.04721625
7,48.438,66.667,100.000,0,0,0.09179958333333334
8,43.750,66.667,100.000,0,0,0.06341916666666667
9,40.625,66.667,100.000,0,0,0.09389833333333333
10,59.375,66.667,100.000,0,0,0.07293583333333334
11,54.688,22.222,0.000,1,0,0.055329166666666665
12,40.625,66.667,100.000,0,0,0.09643833333333333
13,56.250,66.667,100.000,0,0,0.04064375
0,53.125,33.333,0.000,1,0,0.0516075
1,46.875,66.667,100.000,0,0,0.10001708333333334
2,43.750,66.667,100.000,0,0,0.06363666666666666
3,53.125,88.889,100.000,0,0,0.05759375
4,57.812,66.667,100.000,0,0,0.06094875
5,53.125,66.667,100.000,0,0,0.08258541666666666
6,45.312,66.667,100.000,0,0,0.04731125
7,60.938,66.667,100.000,0,0,0.09199875
8,48.438,66.667,100.000,0,0,0.06342625
9,59.375,66.667,100.000,0,0,0.09380958333333334
10,56.250,66.667,100.000,0,0,0.07273333333333333
11,50.000,66.667,100.000,0,0,0.05554208333333333
12,48.438,66.667,100.000,0,0,0.09637916666666667
13,48.438,66.667,100.000,0,0,0.04095708333333333
