subj,tr_acc,val_acc,ts_acc,ts_pred,ts_label,sparsity
0,75.000,66.667,100.000,0,0,0.1
1,87.500,66.667,100.000,0,0,0.1
2,62.500,66.667,100.000,0,0,0.1
3,62.500,66.667,100.000,0,0,0.1
4,37.500,66.667,100.000,0,0,0.1
5,37.500,66.667,100.000,0,0,0.1
6,62.500,66.667,100.000,0,0,0.1
7,37.500,66.667,100.000,0,0,0.1
8,62.500,66.667,100.000,0,0,0.1
9,75.000,33.333,0.000,1,0,0.1
10,75.000,22.222,0.000,1,0,0.1
11,62.500,66.667,100.000,0,0,0.1
12,50.000,55.556,100.000,0,0,0.1
13,25.000,66.667,100.000,0,0,0.1
14,62.500,88.889,100.000,0,0,0.1
15,75.000,88.889,100.000,0,0,0.1
16,37.500,66.667,100.000,0,0,0.1
17,37.500,66.667,100.000,0,0,0.1
18,50.000,11.111,100.000,1,1,0.1
19,62.500,66.667,0.000,0,1,0.1
20,75.000,33.333,100.000,0,0,0.1
21,25.000,66.667,100.000,0,0,0.1
22,75.000,66.667,100.000,0,0,0.1
23,50.000,33.333,0.000,0,1,0.1
24,25.000,66.667,100.000,0,0,0.1
25,50.000,88.889,0.000,0,1,0.1
26,50.000,66.667,0.000,0,1,0.1
27,50.000,88.889,100.000,0,0,0.1
28,37.500,55.556,100.000,0,0,0.1
29,25.000,55.556,100.000,0,0,0.1
30,62.500,44.444,100.000,1,1,0.1
31,62.500,55.556,0.000,0,1,0.1
32,62.500,55.556,100.000,0,0,0.1
33,25.000,55.556,100.000,0,0,0.1
34,75.000,88.889,100.000,0,0,0.1
35,62.500,55.556,0.000,0,1,0.1
36,25.000,55.556,0.000,0,1,0.1
37,37.500,44.444,100.000,0,0,0.1
38,37.500,55.556,100.000,0,0,0.1
39,62.500,77.778,0.000,0,1,0.1
40,87.500,55.556,100.000,0,0,0.1
41,75.000,44.444,100.000,0,0,0.1
42,62.500,55.556,0.000,0,1,0.1
43,12.500,55.556,100.000,0,0,0.1
44,50.000,55.556,100.000,0,0,0.1
45,37.500,33.333,100.000,1,1,0.1
